monthly_salary,city,city_living_cost_index,goal_type,goal_cost,timeline_years,income_growth_rate,monthly_living_cost,disposable_income,monthly_investment_required,investment_to_income_ratio,verdict
7886588,Bali (Denpasar),8,Wedding,30000000,14,0.1452,6500000,1386588,353559,0.255,green
56643978,Jakarta Pusat,2,Higher Education,150000000,13,0.0495,7500000,49143978,961538,0.0196,green
7904067,Surabaya,5,Education,80288865,28,0.1214,5500000,2404067,238955,0.0994,green
14964879,Makassar,10,Wedding,80000000,16,0.0717,4200000,10764879,909531,0.0845,green
40117149,Medan,7,Wedding,80000000,8,0.0754,3500000,36617149,1231213,0.0336,green
6883876,Semarang,9,Custom,82358023,24,0.1437,3800000,3083876,922267,0.2991,green
53509782,Makassar,10,Custom,371811550,27,0.0566,4200000,49309782,4284389,0.0869,green
6734216,Jakarta Utara,3,Custom,329000600,24,0.1099,6000000,734216,3684235,2.0,red
5854740,Jakarta Pusat,2,Higher Education,200000000,28,0.0926,7500000,0,595238,1.0,red
7301700,Semarang,9,Emergency Fund,22800000,5,0.0853,3800000,3501700,484987,0.1385,green
25170956,Yogyakarta,6,Property,360000000,4,0.0353,4000000,21170956,7500000,0.3543,yellow
17660245,Jakarta Pusat,2,Higher Education,120000000,19,0.1084,7500000,10160245,526316,0.0518,green
53234773,Makassar,10,Education,155443560,21,0.0701,4200000,49034773,616840,0.0126,green
47010560,Jakarta Utara,3,Custom,210317652,6,0.0431,6000000,41010560,3914525,0.0955,green
22772338,Surabaya,5,Retirement,4080000000,23,0.0549,5500000,17272338,45405134,2.0,red
5518272,Bali (Denpasar),8,Emergency Fund,39000000,10,0.1271,6500000,0,529391,1.0,red
7436539,Surabaya,5,Emergency Fund,33000000,6,0.1395,5500000,1936539,614211,0.3172,yellow
19842686,Bandung,4,Wedding,80000000,28,0.0954,5000000,14842686,933364,0.0629,green
5280560,Makassar,10,Retirement,1116000000,15,0.089,4200000,1080560,12889355,2.0,red
7298912,Makassar,10,Wedding,200000000,3,0.133,4200000,3098912,6431250,2.0,red
10070686,Jakarta Selatan,1,Higher Education,120000000,15,0.1034,8500000,1570686,666667,0.4244,yellow
24600498,Jakarta Pusat,2,Retirement,2640000000,14,0.067,7500000,17100498,31113211,1.8194,red
47444300,Surabaya,5,Higher Education,150000000,19,0.0446,5500000,41944300,657895,0.0157,green
15995793,Jakarta Pusat,2,Higher Education,150000000,16,0.0709,7500000,8495793,781250,0.092,green
54765032,Medan,7,Education,200421652,8,0.0356,3500000,51265032,2087726,0.0407,green
22747639,Semarang,9,Property,459000000,24,0.0748,3800000,18947639,1593750,0.0841,green
24022331,Semarang,9,Custom,444833305,27,0.109,3800000,20222331,5125820,0.2535,green
15534814,Bandung,4,Property,504000000,8,0.1062,5000000,10534814,5250000,0.4983,yellow
7688845,Semarang,9,Education,136405042,17,0.1119,3800000,3888845,668652,0.1719,green
6984050,Jakarta Selatan,1,Retirement,3480000000,17,0.1058,8500000,0,39099136,1.0,red
5723733,Bandung,4,Property,980000000,9,0.0974,5000000,723733,9074074,2.0,red
20636908,Surabaya,5,Wedding,30000000,21,0.0525,5500000,15136908,331662,0.0219,green
32985807,Bandung,4,Custom,436438412,15,0.0708,5000000,27985807,5040690,0.1801,green
17400124,Bandung,4,Emergency Fund,30000000,21,0.0768,5000000,12400124,331662,0.0267,green
14264324,Bandung,4,Wedding,80000000,14,0.0945,5000000,9264324,942825,0.1018,green
59888270,Surabaya,5,Property,1120000000,27,0.0731,5500000,54388270,3456790,0.0636,green
10269822,Jakarta Pusat,2,Property,2052000000,19,0.1153,7500000,2769822,9000000,2.0,red
12032418,Bali (Denpasar),8,Property,1980000000,25,0.1081,6500000,5532418,6600000,1.193,red
6390654,Jakarta Selatan,1,Higher Education,80000000,28,0.1119,8500000,0,238095,1.0,red
58015854,Makassar,10,Higher Education,80000000,26,0.0442,4200000,53815854,256410,0.0048,green
15067256,Bali (Denpasar),8,Retirement,2880000000,25,0.0848,6500000,8567256,32509007,2.0,red
6297312,Bandung,4,Wedding,80000000,3,0.1481,5000000,1297312,2572500,1.9829,red
7763488,Jakarta Selatan,1,Property,1512000000,22,0.119,8500000,0,5727273,1.0,red
17262767,Jakarta Utara,3,Retirement,2088000000,11,0.0513,6000000,11262767,27054459,2.0,red
41869517,Jakarta Selatan,1,Emergency Fund,51000000,12,0.0364,8500000,33369517,636032,0.0191,green
22533576,Jakarta Pusat,2,Custom,450387046,10,0.0958,7500000,15033576,6113609,0.4067,yellow
7994702,Medan,7,Emergency Fund,21000000,17,0.1229,3500000,4494702,235943,0.0525,green
5084574,Makassar,10,Wedding,80000000,7,0.117,4200000,884574,1340096,1.515,red
39281416,Surabaya,5,Emergency Fund,33000000,6,0.0559,5500000,33781416,614211,0.0182,green
5032395,Medan,7,Wedding,80000000,24,0.1435,3500000,1532395,895861,0.5846,red
39350833,Jakarta Selatan,1,Property,1890000000,20,0.0335,8500000,30850833,7875000,0.2553,green
34893358,Makassar,10,Higher Education,150000000,25,0.0577,4200000,30693358,500000,0.0163,green
21078086,Semarang,9,Custom,351074082,15,0.0638,3800000,17278086,4054766,0.2347,green
19843045,Surabaya,5,Emergency Fund,33000000,4,0.1042,5500000,14343045,835661,0.0583,green
50198584,Bali (Denpasar),8,Higher Education,80000000,23,0.0746,6500000,43698584,289855,0.0066,green
21549604,Jakarta Selatan,1,Wedding,200000000,17,0.0667,8500000,13049604,2247077,0.1722,green
17774859,Yogyakarta,6,Wedding,80000000,8,0.072,4000000,13774859,1231213,0.0894,green
19438288,Medan,7,Retirement,1440000000,30,0.0807,3500000,15938288,17287770,1.0847,red
7714886,Jakarta Utara,3,Retirement,2376000000,15,0.1065,6000000,1714886,27441852,2.0,red
51965323,Bandung,4,Property,1680000000,15,0.0551,5000000,46965323,9333333,0.1987,green
21568372,Makassar,10,Retirement,2088000000,27,0.0835,4200000,17368372,24060052,1.3853,red
5764303,Bali (Denpasar),8,Property,1540000000,3,0.1192,6500000,0,42777778,1.0,red
7438199,Medan,7,Wedding,80000000,10,0.0984,3500000,3938199,1085930,0.2757,green
7202930,Makassar,10,Higher Education,120000000,19,0.1412,4200000,3002930,526316,0.1753,green
31425287,Medan,7,Retirement,2448000000,9,0.0519,3500000,27925287,35163440,1.2592,red
12561524,Bali (Denpasar),8,Property,1188000000,13,0.1098,6500000,6061524,7615385,1.2563,red
5303491,Medan,7,Property,1080000000,15,0.1439,3500000,1803491,6000000,2.0,red
5906830,Yogyakarta,6,Wedding,200000000,6,0.0979,4000000,1906830,3722488,1.9522,red
15147608,Jakarta Selatan,1,Emergency Fund,51000000,12,0.081,8500000,6647608,636032,0.0957,green
15078310,Semarang,9,Custom,124060165,27,0.0929,3800000,11278310,1429547,0.1268,green
22291418,Medan,7,Retirement,1368000000,29,0.092,3500000,18791418,16180671,0.8611,red
18030563,Jakarta Selatan,1,Wedding,80000000,13,0.1069,8500000,9530563,967000,0.1015,green
7711859,Makassar,10,Property,396000000,17,0.1076,4200000,3511859,1941176,0.5527,red
57374193,Semarang,9,Higher Education,80000000,24,0.0428,3800000,53574193,277778,0.0052,green
14901596,Yogyakarta,6,Retirement,2304000000,17,0.0556,4000000,10901596,25886325,2.0,red
29415358,Jakarta Pusat,2,Education,157543977,20,0.0374,7500000,21915358,656433,0.03,green
16473765,Jakarta Selatan,1,Property,2268000000,28,0.1195,8500000,7973765,6750000,0.8465,red
7643012,Surabaya,5,Higher Education,80000000,19,0.0945,5500000,2143012,350877,0.1637,green
58244022,Bali (Denpasar),8,Wedding,200000000,8,0.0721,6500000,51744022,3078032,0.0595,green
6478344,Makassar,10,Property,594000000,13,0.1485,4200000,2278344,3807692,1.6713,red
6918159,Bali (Denpasar),8,Higher Education,200000000,19,0.1241,6500000,418159,877193,2.0,red
11079712,Jakarta Pusat,2,Property,1710000000,19,0.1083,7500000,3579712,7500000,2.0,red
7900597,Jakarta Selatan,1,Custom,52429344,26,0.1012,8500000,0,597505,1.0,red
26375218,Jakarta Pusat,2,Property,1368000000,19,0.0521,7500000,18875218,6000000,0.3179,yellow
16040068,Jakarta Utara,3,Education,215397766,29,0.0636,6000000,10040068,618959,0.0616,green
6728478,Semarang,9,Retirement,1008000000,12,0.0932,3800000,2928478,12570994,2.0,red
23829812,Bandung,4,Custom,114194458,22,0.0958,5000000,18829812,1265335,0.0672,green
7081590,Jakarta Selatan,1,Higher Education,150000000,11,0.1159,8500000,0,1136364,1.0,red
20132986,Jakarta Utara,3,Higher Education,80000000,5,0.089,6000000,14132986,1333333,0.0943,green
18166920,Makassar,10,Retirement,1116000000,28,0.0553,4200000,13966920,13020429,0.9322,red
7626090,Bali (Denpasar),8,Emergency Fund,39000000,6,0.0989,6500000,1126090,725885,0.6446,red
5583644,Bali (Denpasar),8,Wedding,200000000,13,0.1061,6500000,0,2417499,1.0,red
7702723,Jakarta Pusat,2,Retirement,864000000,27,0.1163,7500000,202723,9955884,2.0,red
5490825,Bandung,4,Custom,90149976,15,0.0976,5000000,490825,1041196,2.0,red
21669168,Medan,7,Education,131354570,3,0.0906,3500000,18169168,3648738,0.2008,green
25847212,Medan,7,Wedding,30000000,16,0.0625,3500000,22347212,341074,0.0153,green
14173258,Jakarta Utara,3,Education,221506056,19,0.059,6000000,8173258,971518,0.1189,green
6877952,Medan,7,Higher Education,80000000,13,0.1128,3500000,3377952,512821,0.1518,green
7008834,Makassar,10,Property,594000000,28,0.1033,4200000,2808834,1767857,0.6294,red
15336897,Jakarta Selatan,1,Wedding,80000000,13,0.1078,8500000,6836897,967000,0.1414,green
5545425,Makassar,10,Custom,360533909,28,0.1231,4200000,1345425,4206368,2.0,red
12227248,Surabaya,5,Property,1120000000,12,0.0757,5500000,6727248,7777778,1.1562,red
19986766,Jakarta Pusat,2,Wedding,80000000,29,0.0651,7500000,12486766,946238,0.0758,green
7690240,Surabaya,5,Property,720000000,28,0.1403,5500000,2190240,2142857,0.9784,red
16760591,Jakarta Pusat,2,Higher Education,200000000,5,0.0951,7500000,9260591,3333333,0.3599,yellow
21409099,Bandung,4,Retirement,1656000000,5,0.0956,5000000,16409099,35225371,2.0,red
17458613,Medan,7,Property,1080000000,24,0.0925,3500000,13958613,3750000,0.2687,green
6438365,Jakarta Selatan,1,Higher Education,200000000,18,0.144,8500000,0,925926,1.0,red
23027142,Medan,7,Custom,200364360,7,0.1083,3500000,19527142,3356343,0.1719,green
7612392,Semarang,9,Property,382500000,12,0.1208,3800000,3812392,2656250,0.6967,red
6632549,Jakarta Utara,3,Emergency Fund,36000000,4,0.0867,6000000,632549,911630,1.4412,red
11215893,Jakarta Selatan,1,Wedding,200000000,30,0.1114,8500000,2715893,2401079,0.8841,red
55055984,Medan,7,Education,103181742,23,0.0585,3500000,51555984,373847,0.0073,green
7550953,Bali (Denpasar),8,Emergency Fund,39000000,4,0.1083,6500000,1050953,987599,0.9397,red
34668363,Yogyakarta,6,Education,220365029,9,0.0578,4000000,30668363,2040417,0.0665,green
6820068,Jakarta Selatan,1,Wedding,80000000,26,0.093,8500000,0,911711,1.0,red
6828403,Bandung,4,Property,980000000,5,0.1184,5000000,1828403,16333333,2.0,red
7163478,Makassar,10,Education,138711431,5,0.1192,4200000,2963478,2311857,0.7801,red
14110624,Semarang,9,Custom,172508244,23,0.0948,3800000,10310624,1919794,0.1862,green
5673747,Jakarta Selatan,1,Wedding,80000000,22,0.1388,8500000,0,886443,1.0,red
22461511,Semarang,9,Education,242945735,22,0.0634,3800000,18661511,920249,0.0493,green
30839040,Yogyakarta,6,Property,450000000,22,0.0529,4000000,26839040,1704545,0.0635,green
24185103,Makassar,10,Property,594000000,15,0.085,4200000,19985103,3300000,0.1651,green
18138632,Bandung,4,Education,255383894,16,0.087,5000000,13138632,1330124,0.1012,green
11700806,Jakarta Selatan,1,Wedding,200000000,26,0.0705,8500000,3200806,2279277,0.7121,red
14121967,Yogyakarta,6,Emergency Fund,24000000,22,0.0566,4000000,10121967,265933,0.0263,green
20600779,Bandung,4,Wedding,80000000,29,0.0907,5000000,15600779,946238,0.0607,green
20076689,Surabaya,5,Property,576000000,19,0.1004,5500000,14576689,2526316,0.1733,green
15744061,Jakarta Pusat,2,Property,1368000000,8,0.1077,7500000,8244061,14250000,1.7285,red
26674358,Jakarta Pusat,2,Property,4560000000,10,0.0799,7500000,19174358,38000000,1.9818,red
7992269,Surabaya,5,Retirement,2304000000,23,0.1013,5500000,2492269,25640546,2.0,red
7743325,Semarang,9,Custom,331157929,8,0.1393,3800000,3943325,5096574,1.2925,red
19037670,Surabaya,5,Property,1120000000,24,0.0625,5500000,13537670,3888889,0.2873,green
6345224,Jakarta Selatan,1,Retirement,972000000,14,0.1448,8500000,0,11455319,1.0,red
7071868,Semarang,9,Emergency Fund,22800000,11,0.1277,3800000,3271868,295422,0.0903,green
23517664,Medan,7,Wedding,80000000,4,0.0904,3500000,20017664,2025844,0.1012,green
54325564,Jakarta Utara,3,Higher Education,120000000,15,0.0322,6000000,48325564,666667,0.0138,green
6671020,Makassar,10,Property,495000000,7,0.1115,4200000,2471020,5892857,2.0,red
7067430,Medan,7,Property,405000000,4,0.0884,3500000,3567430,8437500,2.0,red
10300791,Yogyakarta,6,Retirement,540000000,14,0.0898,4000000,6300791,6364066,1.01,red
20040781,Semarang,9,Custom,376785268,7,0.095,3800000,16240781,6311604,0.3886,yellow
5949794,Yogyakarta,6,Wedding,80000000,18,0.0994,4000000,1949794,891340,0.4571,yellow
21473182,Bali (Denpasar),8,Emergency Fund,39000000,28,0.0869,6500000,14973182,455015,0.0304,green
43295574,Surabaya,5,Custom,468277567,5,0.0337,5500000,37795574,9960900,0.2635,green
19223545,Bali (Denpasar),8,Higher Education,150000000,20,0.1018,6500000,12723545,625000,0.0491,green
14675550,Yogyakarta,6,Wedding,30000000,27,0.1003,4000000,10675550,345690,0.0324,green
7647411,Jakarta Selatan,1,Retirement,1944000000,18,0.1275,8500000,0,21659573,1.0,red
5831775,Jakarta Selatan,1,Higher Education,150000000,25,0.087,8500000,0,500000,1.0,red
5147482,Bandung,4,Higher Education,200000000,21,0.1038,5000000,147482,793651,2.0,red
5275954,Medan,7,Higher Education,120000000,18,0.0966,3500000,1775954,555556,0.3128,yellow
5433739,Yogyakarta,6,Wedding,80000000,21,0.1446,4000000,1433739,884433,0.6169,red
23962493,Bali (Denpasar),8,Wedding,200000000,8,0.0577,6500000,17462493,3078032,0.1763,green
6273718,Medan,7,Emergency Fund,21000000,10,0.1124,3500000,2773718,285057,0.1028,green
7878783,Semarang,9,Custom,335232418,23,0.1367,3800000,4078783,3730704,0.9147,red
20904669,Bali (Denpasar),8,Emergency Fund,39000000,7,0.0555,6500000,14404669,653297,0.0454,green
7417573,Jakarta Utara,3,Property,1260000000,22,0.1124,6000000,1417573,4772727,2.0,red
14539605,Jakarta Selatan,1,Emergency Fund,51000000,11,0.059,8500000,6039605,660813,0.1094,green
23339781,Yogyakarta,6,Wedding,80000000,27,0.0673,4000000,19339781,921841,0.0477,green
56213707,Bandung,4,Wedding,30000000,30,0.0307,5000000,51213707,360162,0.007,green
59390262,Jakarta Pusat,2,Custom,428180149,15,0.0441,7500000,51890262,4945310,0.0953,green
17558332,Yogyakarta,6,Wedding,30000000,25,0.0674,4000000,13558332,338635,0.025,green
19458389,Jakarta Utara,3,Education,163875424,10,0.0806,6000000,13458389,1365629,0.1015,green
6915365,Bali (Denpasar),8,Custom,203870522,24,0.1006,6500000,415365,2282996,2.0,red
20183513,Jakarta Utara,3,Property,1260000000,5,0.0685,6000000,14183513,21000000,1.4806,red
32119455,Yogyakarta,6,Property,360000000,3,0.0728,4000000,28119455,10000000,0.3556,yellow
5369156,Semarang,9,Custom,101885491,7,0.1269,3800000,1569156,1706704,1.0877,red
33666598,Jakarta Pusat,2,Retirement,756000000,21,0.0428,7500000,26166598,8357888,0.3194,yellow
6294524,Bali (Denpasar),8,Retirement,576000000,9,0.1054,6500000,0,8273750,1.0,red
44838214,Jakarta Pusat,2,Custom,371870187,24,0.0491,7500000,37338214,4164300,0.1115,green
22850949,Jakarta Utara,3,Emergency Fund,36000000,27,0.0629,6000000,16850949,414828,0.0246,green
6215645,Bandung,4,Emergency Fund,30000000,24,0.1089,5000000,1215645,335948,0.2764,green
30540019,Jakarta Selatan,1,Higher Education,120000000,19,0.0404,8500000,22040019,526316,0.0239,green
16167234,Jakarta Utara,3,Retirement,1800000000,26,0.0808,6000000,10167234,20513496,2.0,red
19218115,Jakarta Utara,3,Education,79615426,6,0.1106,6000000,13218115,1105770,0.0837,green
6937278,Medan,7,Retirement,900000000,4,0.1353,3500000,3437278,22790742,2.0,red
16118239,Bali (Denpasar),8,Retirement,2160000000,26,0.0595,6500000,9618239,24616196,2.0,red
14745631,Makassar,10,Emergency Fund,25200000,11,0.0801,4200000,10545631,326519,0.031,green
7517624,Medan,7,Retirement,2232000000,17,0.1458,3500000,4017624,25077377,2.0,red
19806669,Bandung,4,Property,504000000,8,0.0657,5000000,14806669,5250000,0.3546,yellow
11407328,Bali (Denpasar),8,Custom,272370922,5,0.1121,6500000,4907328,5793700,1.1806,red
6182251,Surabaya,5,Property,864000000,25,0.108,5500000,682251,2880000,2.0,red
7123352,Jakarta Utara,3,Wedding,200000000,14,0.1394,6000000,1123352,2357061,2.0,red
7654780,Makassar,10,Retirement,3240000000,14,0.1027,4200000,3454780,38184395,2.0,red
5928678,Semarang,9,Emergency Fund,22800000,17,0.1368,3800000,2128678,256167,0.1203,green
20037755,Jakarta Utara,3,Custom,51056363,11,0.0803,6000000,14037755,661543,0.0471,green
11818973,Bandung,4,Custom,370432397,24,0.0576,5000000,6818973,4148200,0.6083,red
7821191,Bandung,4,Education,265872863,17,0.1243,5000000,2821191,1303298,0.462,yellow
5284861,Bandung,4,Wedding,200000000,17,0.1338,5000000,284861,2247077,2.0,red
5365668,Yogyakarta,6,Custom,303465130,24,0.1422,4000000,1365668,3398283,2.0,red
30737209,Jakarta Selatan,1,Wedding,80000000,16,0.0752,8500000,22237209,909531,0.0409,green
19952531,Jakarta Pusat,2,Custom,85541270,17,0.1165,7500000,12452531,961089,0.0772,green
7681323,Jakarta Pusat,2,Custom,117639780,28,0.1416,7500000,181323,1372509,2.0,red
18796893,Bali (Denpasar),8,Emergency Fund,39000000,14,0.059,6500000,12296893,459627,0.0374,green
5824687,Makassar,10,Wedding,200000000,21,0.1455,4200000,1624687,2211081,1.3609,red
5056783,Makassar,10,Wedding,30000000,11,0.1161,4200000,856783,388713,0.4537,yellow
20975579,Yogyakarta,6,Wedding,80000000,29,0.064,4000000,16975579,946238,0.0557,green
6316015,Makassar,10,Wedding,80000000,24,0.1026,4200000,2116015,895861,0.4234,yellow
12054733,Yogyakarta,6,Retirement,1152000000,11,0.1139,4000000,8054733,14926598,1.8531,red
46958879,Jakarta Utara,3,Property,1960000000,27,0.0528,6000000,40958879,6049383,0.1477,green
20309245,Jakarta Selatan,1,Property,1890000000,22,0.1146,8500000,11809245,7159091,0.6062,red
13860482,Bali (Denpasar),8,Education,259852009,6,0.0972,6500000,7360482,3609056,0.4903,yellow
15982323,Yogyakarta,6,Education,250815850,24,0.0781,4000000,11982323,870888,0.0727,green
23411371,Makassar,10,Emergency Fund,25200000,12,0.0675,4200000,19211371,314275,0.0164,green
13451267,Jakarta Pusat,2,Wedding,80000000,9,0.1078,7500000,5951267,1149132,0.1931,green
15302162,Jakarta Pusat,2,Property,1368000000,23,0.0765,7500000,7802162,4956522,0.6353,red
5814144,Yogyakarta,6,Emergency Fund,24000000,9,0.1043,4000000,1814144,344740,0.19,green
34389661,Jakarta Pusat,2,Retirement,1080000000,7,0.0744,7500000,26889661,18091291,0.6728,red
10467624,Bali (Denpasar),8,Higher Education,80000000,21,0.0998,6500000,3967624,317460,0.08,green
7880799,Jakarta Selatan,1,Emergency Fund,51000000,7,0.1051,8500000,0,854311,1.0,red
18277431,Medan,7,Emergency Fund,21000000,17,0.0586,3500000,14777431,235943,0.016,green
7896960,Semarang,9,Custom,200015527,19,0.0807,3800000,4096960,2216795,0.5411,red
5722634,Jakarta Pusat,2,Education,221469069,25,0.1301,7500000,0,738230,1.0,red
6665479,Makassar,10,Wedding,200000000,29,0.1059,4200000,2465479,2365595,0.9595,red
5641404,Bandung,4,Emergency Fund,30000000,18,0.1425,5000000,641404,334253,0.5211,red
16236615,Yogyakarta,6,Emergency Fund,24000000,24,0.0536,4000000,12236615,268758,0.022,green
40516211,Yogyakarta,6,Wedding,200000000,12,0.0367,4000000,36516211,2494245,0.0683,green
6322265,Jakarta Selatan,1,Education,297065529,16,0.0973,8500000,0,1547216,1.0,red
7863191,Medan,7,Property,405000000,4,0.1474,3500000,4363191,8437500,1.9338,red
20271597,Makassar,10,Retirement,864000000,16,0.0714,4200000,16071597,9822936,0.6112,red
14206948,Medan,7,Retirement,2160000000,27,0.0719,3500000,10706948,24889709,2.0,red
24840110,Surabaya,5,Property,576000000,15,0.0583,5500000,19340110,3200000,0.1655,green
7516664,Bandung,4,Property,756000000,8,0.0964,5000000,2516664,7875000,2.0,red
38076198,Yogyakarta,6,Emergency Fund,24000000,11,0.0332,4000000,34076198,310971,0.0091,green
16062226,Makassar,10,Wedding,80000000,8,0.0791,4200000,11862226,1231213,0.1038,green
20630213,Yogyakarta,6,Retirement,1044000000,29,0.0713,4000000,16630213,12348407,0.7425,red
22357026,Bali (Denpasar),8,Retirement,4080000000,12,0.1127,6500000,15857026,50882596,2.0,red
29416828,Surabaya,5,Property,720000000,11,0.054,5500000,23916828,5454545,0.2281,green
28193808,Yogyakarta,6,Retirement,612000000,29,0.0326,4000000,24193808,7238721,0.2992,green
19762996,Makassar,10,Custom,346707636,27,0.084,4200000,15562996,3995117,0.2567,green
5708024,Jakarta Utara,3,Property,2520000000,27,0.0894,6000000,0,7777778,1.0,red
5671454,Makassar,10,Property,594000000,19,0.1002,4200000,1471454,2605263,1.7705,red
43205608,Makassar,10,Higher Education,80000000,20,0.031,4200000,39005608,333333,0.0085,green
5621848,Jakarta Selatan,1,Wedding,30000000,26,0.1046,8500000,0,341892,1.0,red
20253886,Jakarta Utara,3,Wedding,30000000,7,0.1152,6000000,14253886,502536,0.0353,green
16528461,Jakarta Selatan,1,Education,268734851,22,0.0541,8500000,8028461,1017935,0.1268,green
57429172,Jakarta Selatan,1,Education,190707559,28,0.0483,8500000,48929172,567582,0.0116,green
50431155,Makassar,10,Education,74404690,5,0.0702,4200000,46231155,1240078,0.0268,green
5504781,Semarang,9,Retirement,2088000000,29,0.1052,3800000,1704781,24696814,2.0,red
13044903,Surabaya,5,Wedding,80000000,23,0.0869,5500000,7544903,890297,0.118,green
21890551,Bandung,4,Retirement,2232000000,20,0.0534,5000000,16890551,24675669,1.4609,red
20956206,Yogyakarta,6,Retirement,684000000,7,0.0979,4000000,16956206,11457818,0.6757,red
6172259,Medan,7,Emergency Fund,21000000,20,0.1445,3500000,2672259,232164,0.0869,green
5741615,Makassar,10,Property,1320000000,27,0.0872,4200000,1541615,4074074,2.0,red
5630528,Makassar,10,Custom,417595094,12,0.1431,4200000,1430528,5207922,2.0,red
15476409,Semarang,9,Higher Education,120000000,16,0.0987,3800000,11676409,625000,0.0535,green
12006410,Semarang,9,Education,177433878,19,0.0954,3800000,8206410,778219,0.0948,green
5079341,Bali (Denpasar),8,Retirement,1512000000,20,0.1483,6500000,0,16715776,1.0,red
11913522,Makassar,10,Emergency Fund,25200000,23,0.0971,4200000,7713522,280443,0.0364,green
49262334,Bali (Denpasar),8,Wedding,200000000,28,0.0395,6500000,42762334,2333410,0.0546,green
19666348,Jakarta Pusat,2,Wedding,80000000,11,0.0645,7500000,12166348,1036569,0.0852,green
13603939,Surabaya,5,Emergency Fund,33000000,24,0.0528,5500000,8103939,369543,0.0456,green
6013244,Jakarta Utara,3,Education,296480665,28,0.1156,6000000,13244,882383,2.0,red
6815305,Makassar,10,Retirement,3120000000,29,0.1451,4200000,2615305,36903285,2.0,red
5553954,Bali (Denpasar),8,Higher Education,80000000,23,0.0944,6500000,0,289855,1.0,red
11889110,Surabaya,5,Custom,99947666,8,0.1105,5500000,6389110,1538211,0.2408,green
11900691,Makassar,10,Custom,178068108,26,0.105,4200000,7700691,2029333,0.2635,green
16939289,Semarang,9,Emergency Fund,22800000,15,0.0903,3800000,13139289,263331,0.02,green
6403275,Surabaya,5,Custom,379049499,10,0.1416,5500000,903275,5145264,2.0,red
19699317,Bandung,4,Property,504000000,8,0.1097,5000000,14699317,5250000,0.3572,yellow
7676459,Yogyakarta,6,Property,700000000,27,0.1169,4000000,3676459,2160494,0.5877,red
5031037,Surabaya,5,Education,212700673,11,0.1162,5500000,0,1611369,1.0,red
19275195,Yogyakarta,6,Wedding,80000000,27,0.0544,4000000,15275195,921841,0.0603,green
18711057,Jakarta Pusat,2,Retirement,2040000000,10,0.062,7500000,11211057,27691209,2.0,red
5971938,Bali (Denpasar),8,Emergency Fund,39000000,19,0.1264,6500000,0,432241,1.0,red
6474543,Semarang,9,Higher Education,150000000,15,0.1129,3800000,2674543,833333,0.3116,yellow
7877706,Bandung,4,Retirement,1296000000,10,0.0923,5000000,2877706,17592062,2.0,red
22875601,Surabaya,5,Education,262496898,28,0.0849,5500000,17375601,781241,0.045,green
7497496,Yogyakarta,6,Wedding,30000000,14,0.0803,4000000,3497496,353559,0.1011,green
6345456,Jakarta Utara,3,Retirement,4080000000,30,0.1498,6000000,345456,48982014,2.0,red
5497962,Semarang,9,Wedding,80000000,30,0.0905,3800000,1697962,960432,0.5656,red
5034578,Makassar,10,Retirement,684000000,18,0.1016,4200000,834578,7620961,2.0,red
5597247,Surabaya,5,Emergency Fund,33000000,16,0.0845,5500000,97247,375182,2.0,red
6001445,Bandung,4,Higher Education,150000000,23,0.109,5000000,1001445,543478,0.5427,red
6628779,Makassar,10,Higher Education,80000000,16,0.0926,4200000,2428779,416667,0.1716,green
35840486,Jakarta Selatan,1,Custom,453412786,19,0.0693,8500000,27340486,5025226,0.1838,green
16623209,Semarang,9,Custom,339275026,5,0.1138,3800000,12823209,7216841,0.5628,red
13056641,Medan,7,Property,486000000,16,0.098,3500000,9556641,2531250,0.2649,green
33843205,Medan,7,Custom,182719011,8,0.0454,3500000,30343205,2812075,0.0927,green
5067648,Bandung,4,Retirement,1080000000,23,0.092,5000000,67648,12019006,2.0,red
6175824,Semarang,9,Emergency Fund,22800000,15,0.1094,3800000,2375824,263331,0.1108,green
5410206,Bali (Denpasar),8,Higher Education,120000000,14,0.116,6500000,0,714286,1.0,red
7397714,Jakarta Selatan,1,Wedding,200000000,3,0.1128,8500000,0,6431250,1.0,red
59800080,Surabaya,5,Property,720000000,14,0.037,5500000,54300080,4285714,0.0789,green
19130844,Makassar,10,Retirement,720000000,19,0.0966,4200000,14930844,7979843,0.5345,red
23739145,Jakarta Selatan,1,Education,163022128,9,0.063,8500000,15239145,1509464,0.0991,green
14789753,Semarang,9,Retirement,4080000000,7,0.0838,3800000,10989753,68344878,2.0,red
6467402,Medan,7,Higher Education,150000000,28,0.091,3500000,2967402,446429,0.1504,green
20464696,Bandung,4,Wedding,80000000,9,0.0774,5000000,15464696,1149132,0.0743,green
6170048,Semarang,9,Education,130973888,16,0.1204,3800000,2370048,682156,0.2878,green
41476684,Jakarta Selatan,1,Wedding,30000000,26,0.0593,8500000,32976684,341892,0.0104,green
15970823,Yogyakarta,6,Custom,218142633,14,0.1071,4000000,11970823,2570878,0.2148,green
7908084,Jakarta Selatan,1,Higher Education,120000000,14,0.1089,8500000,0,714286,1.0,red
15349327,Bandung,4,Wedding,80000000,22,0.104,5000000,10349327,886443,0.0857,green
47965113,Bali (Denpasar),8,Retirement,756000000,12,0.0696,6500000,41465113,9428246,0.2274,green
14718723,Semarang,9,Property,382500000,6,0.1167,3800000,10918723,5312500,0.4865,yellow
